"","ASV_ID","Kingdom","Phylum","Class","Order","Family","Genus","Species","Comment.on.genus","primary_lifestyle","secondary_lifestyle","Comment_on_lifestyle_template","Endophytic_interaction_capability_template","Plant_pathogenic_capacity_template","Decay_substrate_template","Decay_type_template","Aquatic_habitat_template","Animal_biotrophic_capacity_template","Specific_hosts","Growth_form_template","Fruitbody_type_template","Hymenium_type_template","Ectomycorrhiza_exploration_type_template","Ectomycorrhiza_lineage_template","primary_photobiont","secondary_photobiont","Guild"
"ASV1","ASV1","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV2","ASV2","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma","podzolica","","soil_saprotroph","","","","","soil","","partly_aquatic","","","yeast","none","none","","","",NA,"Saprotroph"
"ASV3","ASV3","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","terrea","","soil_saprotroph","epiphyte","","","","soil","","partly_aquatic","","","yeast","none","none","","","",NA,"Saprotroph"
"ASV4","ASV4","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV5","ASV5","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV6","ASV6","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV7","ASV7","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV8","ASV8","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",NA,"","plant_pathogen","litter_saprotroph","","foliar_endophyte","leaf/fruit/seed_pathogen","leaf/fruit/seed","soft_rot","partly_aquatic","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","",NA,"Pathotroph"
"ASV9","ASV9","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","terricola","","soil_saprotroph","epiphyte","","","","soil","","partly_aquatic","","","yeast","none","none","","","",NA,"Saprotroph"
"ASV10","ASV10","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma","podzolica","","soil_saprotroph","","","","","soil","","partly_aquatic","","","yeast","none","none","","","",NA,"Saprotroph"
"ASV11","ASV11","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV12","ASV12","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma","podzolica","","soil_saprotroph","","","","","soil","","partly_aquatic","","","yeast","none","none","","","",NA,"Saprotroph"
"ASV13","ASV13","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV14","ASV14","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Cladorrhinum","flexuosum","","unspecified_saprotroph","foliar_endophyte","","foliar_endophyte","leaf/fruit/seed_pathogen","leaf/fruit/seed","soft_rot","non-aquatic","","","filamentous_mycelium","none","none","","","",NA,"Saprotroph"
"ASV15","ASV15","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","chlamydosporum","","plant_pathogen","litter_saprotroph","hypervariable,_saprotroph,_pathogen,damping-off_pathogen","foliar_endophyte","leaf/fruit/seed_pathogen","leaf/fruit/seed,roots,soil,animal_material","soft_rot","partly_aquatic","opportunistic_human_parasite","","filamentous_mycelium","","","","","",NA,"Pathotroph"
"ASV16","ASV16","Fungi","Ascomycota","Sordariomycetes","Xylariales","Bartaliniaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV17","ASV17","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","oxysporum","","plant_pathogen","litter_saprotroph","hypervariable,_saprotroph,_pathogen,damping-off_pathogen","foliar_endophyte","leaf/fruit/seed_pathogen","leaf/fruit/seed,roots,soil,animal_material","soft_rot","partly_aquatic","opportunistic_human_parasite","","filamentous_mycelium","","","","","",NA,"Pathotroph"
"ASV18","ASV18","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV19","ASV19","Fungi","Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV20","ASV20","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV21","ASV21","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma","podzolica","","soil_saprotroph","","","","","soil","","partly_aquatic","","","yeast","none","none","","","",NA,"Saprotroph"
"ASV22","ASV22","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV23","ASV23","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Spizellomycetaceae","Spizellomyces",NA,"","pollen_saprotroph","","","","","pollen","","partly_freshwater_(partly_non-aquatic)","","","zoosporic-rhizomycelial_(chytrid-like)","zoosporangium","closed","","","",NA,"Saprotroph"
"ASV24","ASV24","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Clonostachys",NA,"","wood_saprotroph","plant_pathogen","mycoparasite_and_litter_saprotroph_some_species","","leaf/fruit/seed_pathogen","wood,leaf/fruit/seed,fungal_material,animal_material","","non-aquatic","nematophagous","","filamentous_mycelium","","","","","",NA,"Saprotroph"
"ASV25","ASV25","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV26","ASV26","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV27","ASV27","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Cladorrhinum","flexuosum","","unspecified_saprotroph","foliar_endophyte","","foliar_endophyte","leaf/fruit/seed_pathogen","leaf/fruit/seed","soft_rot","non-aquatic","","","filamentous_mycelium","none","none","","","",NA,"Saprotroph"
"ASV28","ASV28","Fungi","Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV29","ASV29","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Albifimbria","verrucaria","","soil_saprotroph","","mycoparasite_some_species","","","soil","","","","","filamentous_mycelium","none","none","","","",NA,"Saprotroph"
"ASV30","ASV30","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Scutellinia",NA,"","wood_saprotroph","soil_saprotroph","","","","wood,leaf/fruit/seed,soil","","partly_freshwater_(partly_non-aquatic)","","","filamentous_mycelium","apothecium_(hymenium_on_surface)","smooth","","","",NA,"Saprotroph"
"ASV31","ASV31","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV32","ASV32","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",NA,"","plant_pathogen","litter_saprotroph","","foliar_endophyte","leaf/fruit/seed_pathogen","leaf/fruit/seed","soft_rot","partly_aquatic","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","",NA,"Pathotroph"
"ASV33","ASV33","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Gibellulopsis",NA,"","plant_pathogen","litter_saprotroph","","","leaf/fruit/seed_pathogen","leaf/fruit/seed","","partly_aquatic","","","filamentous_mycelium","none","none","","","",NA,"Pathotroph"
"ASV34","ASV34","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","chlamydosporum","","plant_pathogen","litter_saprotroph","hypervariable,_saprotroph,_pathogen,damping-off_pathogen","foliar_endophyte","leaf/fruit/seed_pathogen","leaf/fruit/seed,roots,soil,animal_material","soft_rot","partly_aquatic","opportunistic_human_parasite","","filamentous_mycelium","","","","","",NA,"Pathotroph"
"ASV35","ASV35","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","oxysporum","","plant_pathogen","litter_saprotroph","hypervariable,_saprotroph,_pathogen,damping-off_pathogen","foliar_endophyte","leaf/fruit/seed_pathogen","leaf/fruit/seed,roots,soil,animal_material","soft_rot","partly_aquatic","opportunistic_human_parasite","","filamentous_mycelium","","","","","",NA,"Pathotroph"
"ASV36","ASV36","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV37","ASV37","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV38","ASV38","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Humicola","sardiniae","","wood_saprotroph","","","","","wood","soft_rot","non-aquatic","","","filamentous_mycelium","none","none","","","",NA,"Saprotroph"
"ASV39","ASV39","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV40","ASV40","Fungi","Ascomycota","Leotiomycetes","Thelebolales","Pseudeurotiaceae","Pseudeurotium","hygrophilum","","dung_saprotroph","soil_saprotroph","","","","soil,dung","","partly_aquatic","","","filamentous_mycelium","cleistothecium_(closed,_spherical)","closed","","","",NA,"Saprotroph"
"ASV41","ASV41","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV42","ASV42","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Clonostachys",NA,"","wood_saprotroph","plant_pathogen","mycoparasite_and_litter_saprotroph_some_species","","leaf/fruit/seed_pathogen","wood,leaf/fruit/seed,fungal_material,animal_material","","non-aquatic","nematophagous","","filamentous_mycelium","","","","","",NA,"Saprotroph"
"ASV43","ASV43","Fungi","Ascomycota","Sordariomycetes","Coniochaetales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV44","ASV44","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Spizellomycetaceae","Spizellomyces",NA,"","pollen_saprotroph","","","","","pollen","","partly_freshwater_(partly_non-aquatic)","","","zoosporic-rhizomycelial_(chytrid-like)","zoosporangium","closed","","","",NA,"Saprotroph"
"ASV45","ASV45","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV46","ASV46","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV47","ASV47","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Spizellomycetaceae","Spizellomyces","dolichospermus","","pollen_saprotroph","","","","","pollen","","partly_freshwater_(partly_non-aquatic)","","","zoosporic-rhizomycelial_(chytrid-like)","zoosporangium","closed","","","",NA,"Saprotroph"
"ASV48","ASV48","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellales_fam_Incertae_sedis","Minimedusa","polyspora","","lichen_parasite","fungal_decomposer","","","","fungal_material,algal_material","","non-aquatic","","","filamentous_mycelium","none","none","","","",NA,"Pathotroph"
"ASV49","ASV49","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Schizothecium",NA,"","dung_saprotroph","","","","","dung","","partly_freshwater_(partly_non-aquatic)","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","",NA,"Saprotroph"
"ASV50","ASV50","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Clonostachys",NA,"","wood_saprotroph","plant_pathogen","mycoparasite_and_litter_saprotroph_some_species","","leaf/fruit/seed_pathogen","wood,leaf/fruit/seed,fungal_material,animal_material","","non-aquatic","nematophagous","","filamentous_mycelium","","","","","",NA,"Saprotroph"
"ASV51","ASV51","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Spizellomycetaceae","Spizellomyces","dolichospermus","","pollen_saprotroph","","","","","pollen","","partly_freshwater_(partly_non-aquatic)","","","zoosporic-rhizomycelial_(chytrid-like)","zoosporangium","closed","","","",NA,"Saprotroph"
"ASV52","ASV52","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV53","ASV53","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV54","ASV54","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Scutellinia",NA,"","wood_saprotroph","soil_saprotroph","","","","wood,leaf/fruit/seed,soil","","partly_freshwater_(partly_non-aquatic)","","","filamentous_mycelium","apothecium_(hymenium_on_surface)","smooth","","","",NA,"Saprotroph"
"ASV55","ASV55","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV56","ASV56","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","terricola","","soil_saprotroph","epiphyte","","","","soil","","partly_aquatic","","","yeast","none","none","","","",NA,"Saprotroph"
"ASV57","ASV57","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","globosum","","litter_saprotroph","foliar_endophyte","hypervariable","foliar_endophyte","","wood,leaf/fruit/seed,soil,dung","soft_rot","partly_aquatic","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","",NA,"Saprotroph"
"ASV58","ASV58","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Cladorrhinum","flexuosum","","unspecified_saprotroph","foliar_endophyte","","foliar_endophyte","leaf/fruit/seed_pathogen","leaf/fruit/seed","soft_rot","non-aquatic","","","filamentous_mycelium","none","none","","","",NA,"Saprotroph"
"ASV59","ASV59","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Clonostachys",NA,"","wood_saprotroph","plant_pathogen","mycoparasite_and_litter_saprotroph_some_species","","leaf/fruit/seed_pathogen","wood,leaf/fruit/seed,fungal_material,animal_material","","non-aquatic","nematophagous","","filamentous_mycelium","","","","","",NA,"Saprotroph"
"ASV60","ASV60","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV61","ASV61","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Clonostachys",NA,"","wood_saprotroph","plant_pathogen","mycoparasite_and_litter_saprotroph_some_species","","leaf/fruit/seed_pathogen","wood,leaf/fruit/seed,fungal_material,animal_material","","non-aquatic","nematophagous","","filamentous_mycelium","","","","","",NA,"Saprotroph"
"ASV62","ASV62","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV63","ASV63","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Scutellinia",NA,"","wood_saprotroph","soil_saprotroph","","","","wood,leaf/fruit/seed,soil","","partly_freshwater_(partly_non-aquatic)","","","filamentous_mycelium","apothecium_(hymenium_on_surface)","smooth","","","",NA,"Saprotroph"
"ASV64","ASV64","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV65","ASV65","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta",NA,"","unspecified_saprotroph","foliar_endophyte","hypervariable","foliar_endophyte","leaf/fruit/seed_pathogen","leaf/fruit/seed,soil,dung,animal_material","","non-aquatic","animal_parasite","","filamentous_mycelium","cleistothecium_(closed,_spherical)","closed","","","",NA,"Saprotroph"
"ASV66","ASV66","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","acutatum","","plant_pathogen","litter_saprotroph","hypervariable,_saprotroph,_pathogen,damping-off_pathogen","foliar_endophyte","leaf/fruit/seed_pathogen","leaf/fruit/seed,roots,soil,animal_material","soft_rot","partly_aquatic","opportunistic_human_parasite","","filamentous_mycelium","","","","","",NA,"Pathotroph"
"ASV67","ASV67","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Gibellulopsis",NA,"","plant_pathogen","litter_saprotroph","","","leaf/fruit/seed_pathogen","leaf/fruit/seed","","partly_aquatic","","","filamentous_mycelium","none","none","","","",NA,"Pathotroph"
"ASV68","ASV68","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV69","ASV69","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV70","ASV70","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",NA,"","plant_pathogen","litter_saprotroph","","foliar_endophyte","leaf/fruit/seed_pathogen","leaf/fruit/seed","soft_rot","partly_aquatic","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","",NA,"Pathotroph"
"ASV71","ASV71","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV72","ASV72","Fungi","Ascomycota","Eurotiomycetes","Onygenales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV73","ASV73","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","terrea","","soil_saprotroph","epiphyte","","","","soil","","partly_aquatic","","","yeast","none","none","","","",NA,"Saprotroph"
"ASV74","ASV74","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","sericeum","","soil_saprotroph","unspecified_symbiotroph","CHEGD_symbiotrophs,ectomycorrhizal_ca_10%_of_species","root-associated","root-associated","roots,soil","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","medium-distance_smooth","/entoloma","",NA,"Saprotroph"
"ASV75","ASV75","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Mariannaea","fusiformis","","wood_saprotroph","soil_saprotroph","","","","wood,leaf/fruit/seed,soil","","partly_aquatic","","","filamentous_mycelium","","","","","",NA,"Saprotroph"
"ASV76","ASV76","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Podospora",NA,"","dung_saprotroph","foliar_endophyte","litter_saprotroph_some_species","foliar_endophyte","","leaf/fruit/seed,dung","","partly_freshwater_(partly_non-aquatic)","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","",NA,"Saprotroph"
"ASV77","ASV77","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Trichocladium","opacum","","unspecified_saprotroph","","","","","","","partly_aquatic","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","",NA,"Saprotroph"
"ASV78","ASV78","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Spizellomycetaceae","Spizellomyces","dolichospermus","","pollen_saprotroph","","","","","pollen","","partly_freshwater_(partly_non-aquatic)","","","zoosporic-rhizomycelial_(chytrid-like)","zoosporangium","closed","","","",NA,"Saprotroph"
"ASV79","ASV79","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV80","ASV80","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","oxysporum","","plant_pathogen","litter_saprotroph","hypervariable,_saprotroph,_pathogen,damping-off_pathogen","foliar_endophyte","leaf/fruit/seed_pathogen","leaf/fruit/seed,roots,soil,animal_material","soft_rot","partly_aquatic","opportunistic_human_parasite","","filamentous_mycelium","","","","","",NA,"Pathotroph"
"ASV81","ASV81","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","exigua","","soil_saprotroph","root-associated","","root-associated","root-associated","roots,soil","chitinolytic","partly_aquatic","opportunistic_human_parasite","","filamentous_mycelium","none","none","","","",NA,"Saprotroph"
"ASV82","ASV82","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Conocybe",NA,"","soil_saprotroph","","litter_saprotroph_or_dung_saprotroph_some_species","","","soil","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","","","",NA,"Saprotroph"
"ASV83","ASV83","Fungi","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Ustilago","nunavutica","","plant_pathogen","","","no_endophytic_capacity","leaf/fruit/seed_pathogen","","","partly_aquatic","","Poaceae","dimorphic_yeast","smut","other","","","",NA,"Pathotroph"
"ASV84","ASV84","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV85","ASV85","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Scutellinia",NA,"","wood_saprotroph","soil_saprotroph","","","","wood,leaf/fruit/seed,soil","","partly_freshwater_(partly_non-aquatic)","","","filamentous_mycelium","apothecium_(hymenium_on_surface)","smooth","","","",NA,"Saprotroph"
"ASV86","ASV86","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Spizellomycetaceae","Spizellomyces","dolichospermus","","pollen_saprotroph","","","","","pollen","","partly_freshwater_(partly_non-aquatic)","","","zoosporic-rhizomycelial_(chytrid-like)","zoosporangium","closed","","","",NA,"Saprotroph"
"ASV87","ASV87","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV88","ASV88","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Trichocladium","opacum","","unspecified_saprotroph","","","","","","","partly_aquatic","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","",NA,"Saprotroph"
"ASV89","ASV89","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV90","ASV90","Fungi","Ascomycota","Leotiomycetes","Thelebolales","Pseudeurotiaceae","Pseudeurotium","hygrophilum","","dung_saprotroph","soil_saprotroph","","","","soil,dung","","partly_aquatic","","","filamentous_mycelium","cleistothecium_(closed,_spherical)","closed","","","",NA,"Saprotroph"
"ASV91","ASV91","Fungi","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae","Chloridium","aseptatum","","litter_saprotroph","wood_saprotroph","","root-associated","root_pathogen","wood,leaf/fruit/seed,roots,animal_material","","partly_aquatic","opportunistic_human_parasite","","filamentous_mycelium","none","none","","","",NA,"Saprotroph"
"ASV92","ASV92","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV93","ASV93","Fungi","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae","Chloridium","aseptatum","","litter_saprotroph","wood_saprotroph","","root-associated","root_pathogen","wood,leaf/fruit/seed,roots,animal_material","","partly_aquatic","opportunistic_human_parasite","","filamentous_mycelium","none","none","","","",NA,"Saprotroph"
"ASV94","ASV94","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Schwanniomyces",NA,"","nectar/tap_saprotroph","","","","","sugar-rich_substrates","","partly_aquatic","opportunistic_human_parasite","","yeast","none","none","","","",NA,"Saprotroph"
"ASV95","ASV95","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Spizellomycetaceae","Spizellomyces",NA,"","pollen_saprotroph","","","","","pollen","","partly_freshwater_(partly_non-aquatic)","","","zoosporic-rhizomycelial_(chytrid-like)","zoosporangium","closed","","","",NA,"Saprotroph"
"ASV96","ASV96","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Acremonium","furcatum","","unspecified_saprotroph","foliar_endophyte","hypervariable","foliar_endophyte","leaf/fruit/seed_pathogen","leaf/fruit/seed,soil,dung,animal_material","soft_rot","partly_aquatic","","","filamentous_mycelium","","","","","",NA,"Saprotroph"
"ASV97","ASV97","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV98","ASV98","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown"
"ASV99","ASV99","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Clonostachys","rosea","","wood_saprotroph","plant_pathogen","mycoparasite_and_litter_saprotroph_some_species","","leaf/fruit/seed_pathogen","wood,leaf/fruit/seed,fungal_material,animal_material","","non-aquatic","nematophagous","","filamentous_mycelium","","","","","",NA,"Saprotroph"
"ASV100","ASV100","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","sericeum","","soil_saprotroph","unspecified_symbiotroph","CHEGD_symbiotrophs,ectomycorrhizal_ca_10%_of_species","root-associated","root-associated","roots,soil","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","medium-distance_smooth","/entoloma","",NA,"Saprotroph"
"ASV101","ASV101","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Mariannaea","fusiformis","","wood_saprotroph","soil_saprotroph","","","","wood,leaf/fruit/seed,soil","","partly_aquatic","","","filamentous_mycelium","","","","","",NA,"Saprotroph"
